%Name                           Path                                                                                                                                                                                                        Outputname      Number of subjobs   Cross-Section (pb)


HNL-mu-m60                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-60_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m60       Calc                3.582e-02
HNL-mu-m70                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-70_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m70       Calc                1.148e-02
HNL-mu-m75                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-75_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m75       Calc                2.876e-03
HNL-mu-m85                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-85_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                       HNL-mu-m85       Calc                7.058e-04
HNL-mu-m100                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-100_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m100      Calc                4.304e-04
HNL-mu-m125                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-125_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m125      Calc                1.561e-04
HNL-mu-m150                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-150_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m150      Calc                7.478e-05
HNL-mu-m200                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-200_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m200      Calc                2.482e-05
HNL-mu-m250                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-250_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m250      Calc                1.082e-05
HNL-mu-m300                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-300_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m300      Calc                5.576e-06
HNL-mu-m350                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-350_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m350      Calc                3.170e-06
HNL-mu-m400                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-400_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m400      Calc                1.927e-06
HNL-mu-m450                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-450_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m450      Calc                1.232e-06
HNL-mu-m500                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-500_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m500      Calc                8.201e-07
HNL-mu-m600                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-600_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m600      Calc                3.988e-07
HNL-mu-m700                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-700_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m700      Calc                2.110e-07
HNL-mu-m800                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-800_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m800      Calc                1.185e-07
HNL-mu-m900                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-900_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                      HNL-mu-m900      Calc                7.004e-08
HNL-mu-m1000                     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1000_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                     HNL-mu-m1000     Calc                4.304e-08  
HNL-mu-m1200                     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1200_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                     HNL-mu-m1200     Calc                1.760e-08
HNL-mu-m1500                     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1500_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                     HNL-mu-m1500     Calc                5.340e-09

HNL-taulep-m20                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-20_V-0p01_tau_LO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m20       Calc                7.086e-03
HNL-taulep-m30                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-30_V-0p01_tau_LO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m30       Calc                6.857e-03
HNL-taulep-m40                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-40_V-0p01_tau_LO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m40       Calc                6.281e-03
HNL-taulep-m50                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-50_V-0p01_tau_LO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m50       Calc                4.602e-03
HNL-taulep-m60                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-60_V-0p01_tau_LO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m60       Calc                2.335e-03
HNL-taulep-m70                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-70_V-0p01_tau_LO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m70       Calc                4.661e-04
HNL-taulep-m75                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-75_V-0p01_tau_LO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m75       Calc                1.286e-04
HNL-taulep-m85                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-85_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                    HNL-tau-m85       Calc                1.988e-05
HNL-taulep-m100                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-100_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m100      Calc                2.586e-05
HNL-taulep-m125                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-125_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m125      Calc                1.539e-05
HNL-taulep-m150                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-150_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m150      Calc                8.616e-06
HNL-taulep-m200                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-200_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m200      Calc                3.251e-06
HNL-taulep-m250                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-250_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m250      Calc                1.519e-06
HNL-taulep-m300                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-300_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m300      Calc                8.113e-07
HNL-taulep-m350                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-350_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m350      Calc                4.725e-07
HNL-taulep-m400                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-400_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m400      Calc                2.916e-07
HNL-taulep-m450                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-450_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m450      Calc                1.906e-07
HNL-taulep-m500                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-500_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m500      Calc                1.282e-07
HNL-taulep-m600                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-600_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m600      Calc                6.331e-08
HNL-taulep-m700                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-700_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m700      Calc                3.384e-08
HNL-taulep-m800                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-800_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m800      Calc                1.927e-08
HNL-taulep-m900                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-900_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                   HNL-tau-m900      Calc                1.151e-08
HNL-taulep-m1000                 /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1000_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                  HNL-tau-m1000     Calc                7.084e-09  

HNL-tauhad-m20                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-20_V-0p01_tau_LO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                            HNL-tau-m20       Calc                2.370e-02
HNL-tauhad-m30                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-30_V-0p01_tau_LO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                            HNL-tau-m30       Calc                2.019e-02
HNL-tauhad-m40                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-40_V-0p01_tau_LO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                            HNL-tau-m40       Calc                1.487e-02
HNL-tauhad-m50                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-50_V-0p01_tau_LO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                            HNL-tau-m50       Calc                8.611e-03
HNL-tauhad-m60                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-60_V-0p01_tau_LO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                            HNL-tau-m60       Calc                3.451e-03
HNL-tauhad-m70                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-70_V-0p01_tau_LO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                            HNL-tau-m70       Calc                1.411e-03
HNL-tauhad-m75                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-75_V-0p01_tau_LO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                            HNL-tau-m75       Calc                7.112e-04
HNL-tauhad-m85                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-85_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                           HNL-tau-m85       Calc                3.330e-04
